id,name,popularity
5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,81
2syQ0f4SAQdzvlAewPl1DJ,Get Low (with Liam Payne),65
4xEnPbulgQ4J4vu78VEwVr,Mi Gente,35
6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,58
6tF92PMv01Ug9Dh8Rmy6nH,New Rules,56
7wGoVu4Dady5GV0Sv4UIsx,rockstar,20
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),83
1j4kHkkpqZRBwE0A4CN4Yv,Dusk Till Dawn - Radio Edit,79
7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",79
68fXn0TVggt7Gr0sPbBuI5,YOUTH,4
1g9V4qY5UaWJJRRYL9WYmG,Hula Hoop,39
25sgk305KZfyuqVBQIahim,Sweet but Psycho,88
0xCmwofyCiXdhoBsMSNj2w,Love Myself,9
3D4QFgYa3P9P0gjmv4eX6I,Chandelier,53
31MkGwj0SWgZaTvEt5Hgxv,What About Us,64
4O594chXfv4lHvneDP0Ud0,Animals,4
0PAj9Y5kFEzhGeWkockoxv,Wild Things,62
44XBLYMVEt5vJcb5qXfQ7V,Alejandro,8
0Ji2g9AlYLVHAMG5PJoHPU,We R Who We R,12
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,82
4Zpe9VME8DiFjLdqSqPRoZ,Close,3
2GgxS8bUT5G25QJTsfSv0R,Burn,67
6RjKVXi31fui9m4dbiGRrL,I Knew You Were Trouble,14
42ydLwx4i5V49RXHOozJZq,Scars To Your Beautiful,75
7ct1bZztkqljDCEslggLIk,F**kin' Perfect,51
003eoIwxETJujVWmNFMoZy,Growing Pains,61
4keoy2fqgwGnbWlm3ZVZFa,Happy Now,78
3nc420PXjTdBV5TN0gCFkS,Ocean (feat. Khalid),77
3ee8Jmje8o58CHK66QrVC2,SAD!,85
5WvAo7DNuPRmk4APhdPzi8,No Brainer,78
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,79
6dPyzkyZwoj9LqjQXOFdVv,Press,80
76N7FdzCI9OsiUnzJVLY2m,Rumour Has It,61
5OMwQFBcte0aWFJFqrr5oj,TiK ToK,19
22VdIZQfgXJea34mQxlt81,Can't Feel My Face,76
0pwYLVXVknPSGUQb39cePC,As Long As You Love Me,69
0JNdS1n0ifOP25XvhwAMgM,The Edge Of Glory,59
